measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est,zt,Diff
Beamstyle_4DVE_Intensity,11575444,0,0,4705900,0.5,90,90,56.04,20,8,8,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.9,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1,90,90,56.04,20,8,13,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1.5,90,90,56.04,20,8,20,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.4,1.6,-0.8
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,2,90,90,56.04,20,8,26,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,3,90,90,56.04,20,8,40,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,4,90,90,56.04,20,8,53,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.9,1.5,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,6,90,90,56.04,20,8,57,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.9,1.6,-1.3
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,8,90,90,56.04,20,8,59,2,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,3,1.6,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,0.5,90,90,56.04,20,8,7,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,3.1,1.9,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1,90,90,56.04,20,8,13,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,3,1.6,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,1.5,90,90,56.04,20,8,20,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.9,1.5,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.4,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.4,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,4,90,90,56.04,20,8,53,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,6,90,90,56.04,20,8,57,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,4705900,8,90,90,56.04,20,8,59,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,1.5,-0.9
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,0.5,90,90,56.04,20,8,7,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.9,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,1,90,90,56.04,20,8,13,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.8,-0.5
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,1.5,90,90,56.04,20,8,20,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,2,90,90,56.04,20,8,26,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,3,90,90,56.04,20,8,40,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,4,90,90,56.04,20,8,45,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.9,1.6,-1.3
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,6,90,90,56.04,20,8,49,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,3,1.6,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,8,90,90,56.04,20,8,50,2,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,3,1.6,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,0.5,90,90,56.04,20,8,7,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,3.1,1.9,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,1,90,90,56.04,20,8,13,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,3,1.6,-1.4
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,1.5,90,90,56.04,20,8,20,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,3,1.4,-1.6
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.6,1.4,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,4,90,90,56.04,20,8,45,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,6,90,90,56.04,20,8,49,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,5000000,8,90,90,56.04,20,8,50,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,1.6,-0.8
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,0.5,90,90,56.04,20,8,7,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,2,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1,90,90,56.04,20,8,13,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.9,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1.5,90,90,56.04,20,8,20,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,2,90,90,56.04,20,8,26,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,3,90,90,56.04,20,8,40,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.4,1.6,-0.8
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,4,90,90,56.04,20,8,45,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.2,1.7,-0.5
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,6,90,90,56.04,20,8,49,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.7,1.8,-0.9
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,8,90,90,56.04,20,8,50,2,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.8,1.7,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,0.5,90,90,56.04,20,8,7,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,2.1,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1,90,90,56.04,20,8,13,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.8,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,1.5,90,90,56.04,20,8,20,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.6,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,1.5,-1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,4,90,90,56.04,20,8,45,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.2,1.6,-0.6
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,6,90,90,56.04,20,8,49,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.7,1.6,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,8,90,90,56.04,20,8,50,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.9,1.7,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,0.5,90,90,56.04,20,8,7,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.8,2.2,-0.6
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1,90,90,56.04,20,8,13,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,2.1,-0.4
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.5,90,90,56.04,20,8,20,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.2,1.9,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,2,90,90,56.04,20,8,26,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.9,1.8,-0.1
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,3,90,90,56.04,20,8,40,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.8,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,4,90,90,56.04,20,8,45,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.1,1.9,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,6,90,90,56.04,20,8,49,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.3,1.8,-0.5
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,8,90,90,56.04,20,8,50,2,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.3,1.9,-0.4
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,0.5,90,90,56.04,20,8,7,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.8,2.3,0.5
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1,90,90,56.04,20,8,13,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2,2,0
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.5,90,90,56.04,20,8,20,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2,1.8,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.7,-0.6
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,1.8,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,4,90,90,56.04,20,8,45,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.8,1.7,-0.1
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,6,90,90,56.04,20,8,49,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2,1.8,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,8,90,90,56.04,20,8,50,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,1,1.8,0.8
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,0.5,90,90,56.04,20,8,7,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,1.8,0.8
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1,90,90,56.04,20,8,15,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,1.5,0.4
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.5,90,90,56.04,20,8,23,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,1.7,0.6
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,2,90,90,56.04,20,8,30,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,1.6,0.5
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,3,90,90,56.04,20,8,46,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,1.5,0.5
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,4,90,90,56.04,20,8,53,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,1.6,0.4
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,6,90,90,56.04,20,8,57,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.6,-0.9
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,8,90,90,56.04,20,8,59,1,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,0.5,90,90,56.04,20,8,7,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1,90,90,56.04,20,8,15,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.5,90,90,56.04,20,8,23,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,2,90,90,56.04,20,8,30,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,3,90,90,56.04,20,8,46,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,4,90,90,56.04,20,8,53,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,6,90,90,56.04,20,8,57,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,8,90,90,56.04,20,8,59,1,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,0.5,90,90,56.04,20,8,7,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1,90,90,56.04,20,8,15,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1.5,90,90,56.04,20,8,23,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,2,90,90,56.04,20,8,30,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,3,90,90,56.04,20,8,46,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,4,90,90,56.04,20,8,49,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,6,90,90,56.04,20,8,52,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,8,90,90,56.04,20,8,54,1,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,0.5,90,90,56.04,20,8,7,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1,90,90,56.04,20,8,15,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1.5,90,90,56.04,20,8,23,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,2,90,90,56.04,20,8,30,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,3,90,90,56.04,20,8,46,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,4,90,90,56.04,20,8,49,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,6,90,90,56.04,20,8,52,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,8,90,90,56.04,20,8,54,1,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,0.5,90,90,56.04,20,8,7,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1,90,90,56.04,20,8,15,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1.5,90,90,56.04,20,8,23,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,2,90,90,56.04,20,8,30,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,3,90,90,56.04,20,8,43,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,4,90,90,56.04,20,8,45,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,6,90,90,56.04,20,8,49,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,8,90,90,56.04,20,8,50,1,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,0.5,90,90,56.04,20,8,7,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1,90,90,56.04,20,8,15,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1.5,90,90,56.04,20,8,23,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,2,90,90,56.04,20,8,30,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,3,90,90,56.04,20,8,43,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,4,90,90,56.04,20,8,45,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,6,90,90,56.04,20,8,49,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,8,90,90,56.04,20,8,50,1,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,0.5,90,90,56.04,20,8,7,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,1,90,90,56.04,20,8,13,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,1.5,90,90,56.04,20,8,20,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,2,90,90,56.04,20,8,26,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,3,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,4,90,90,56.04,20,8,45,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,6,90,90,56.04,20,8,49,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4000000,8,90,90,56.04,20,8,50,1,4,0,0.5,115,0,1st_LUT,0,0,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,0.5,90,90,56.04,20,8,7,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,1,90,90,56.04,20,8,13,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,1.5,90,90,56.04,20,8,20,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.9,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,2,90,90,56.04,20,8,26,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,3,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,3,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.9,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,4,90,90,56.04,20,8,45,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,6,90,90,56.04,20,8,49,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,5,0,4705900,8,90,90,56.04,20,8,50,1,4,0,0.5,115,0,1st_LUT,0,0,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,0.5,90,90,56.04,20,8,7,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,1,90,90,56.04,20,8,13,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.1,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,1.5,90,90,56.04,20,8,20,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,2,90,90,56.04,20,8,26,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.7,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,3,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,4,90,90,56.04,20,8,45,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.3,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,6,90,90,56.04,20,8,49,1,4,0,0.5,75,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,5,0,5333300,8,90,90,56.04,20,8,50,1,4,0,0.5,115,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,1,90,90,56.04,20,8,15,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,1.5,90,90,56.04,20,8,23,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,2,90,90,56.04,20,8,30,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,2.6,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,10,0,4000000,3,90,90,56.04,20,8,43,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,10,0,4705900,1,90,90,56.04,20,8,15,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,10,0,4705900,1.5,90,90,56.04,20,8,23,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.9,,
Beamstyle_4DVE_Intensity,11575444,10,0,4705900,2,90,90,56.04,20,8,30,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,3.1,,
Beamstyle_4DVE_Intensity,11575444,10,0,4705900,2.6,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,3,,
Beamstyle_4DVE_Intensity,11575444,10,0,4705900,3,90,90,56.04,20,8,43,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,10,0,5333300,1,90,90,56.04,20,8,15,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.2,,
Beamstyle_4DVE_Intensity,11575444,10,0,5333300,1.5,90,90,56.04,20,8,23,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,10,0,5333300,2,90,90,56.04,20,8,30,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.7,,
Beamstyle_4DVE_Intensity,11575444,10,0,5333300,2.6,90,90,56.04,20,8,40,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,10,0,5333300,3,90,90,56.04,20,8,43,1,4,0,0.5,45,0,1st_LUT,0,0,0,0,0,0,2.3,,
Beamstyle_4DVE_Intensity,11575444,15,0,4705900,0.5,90,90,56.04,20,8,7,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.4,,
