,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,numMeasVoltage,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,Count,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,ProbeNumTxCycles,profTxVoltageVolt,zMeasNum,zt_est
0,106,40,14L5,B,0,0,31,2,0.25,6,1.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,45.0,0.5
1,107,41,14L5,B,0,0,31,2,0.5,13,1.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,45.0,0.5
2,108,42,14L5,B,0,0,31,2,0.75,19,1.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,45.0,0.5
3,109,43,14L5,B,0,0,31,2,1.0,25,1.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,45.0,0.7
4,110,44,14L5,B,0,0,31,2,1.5,38,1.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,45.0,0.8
5,111,45,14L5,B,0,0,31,2,2.25,56,1.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,45.0,0.9
6,112,46,14L5,B,0,0,31,2,3.5,88,1.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,75.0,1.1
7,113,47,14L5,B,0,0,31,2,5.25,131,1.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,13333333,1.0,56.04,75.0,1.3
8,114,157,14L5,B,0,0,31,2,7.0,175,1.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,1,0,0,13333333,1.0,56.04,115.0,1.5
9,141,0,14L5,B,0,0,25,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.5
10,142,1,14L5,B,0,0,25,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.5
11,143,2,14L5,B,0,0,25,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.5
12,144,96,14L5,B,0,0,25,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.6
13,145,97,14L5,B,0,0,25,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.6
14,146,3,14L5,B,0,0,25,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.7
15,147,98,14L5,B,0,0,25,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.7
16,148,4,14L5,B,0,0,25,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.8
17,149,99,14L5,B,0,0,25,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.9
18,150,5,14L5,B,0,0,25,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.9
19,151,100,14L5,B,0,0,25,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.9
20,152,101,14L5,B,0,0,25,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,45.0,0.9
21,153,102,14L5,B,0,0,25,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,75.0,1.0
22,154,6,14L5,B,0,0,25,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,75.0,1.1
23,155,103,14L5,B,0,0,25,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,75.0,1.1
24,156,7,14L5,B,0,0,25,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,75.0,1.3
25,157,152,14L5,B,0,0,25,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,1.5,56.04,115.0,1.5
26,158,16,14L5,B,0,0,28,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.5
27,159,17,14L5,B,0,0,28,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.5
28,160,18,14L5,B,0,0,28,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.5
29,161,104,14L5,B,0,0,28,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.6
30,162,105,14L5,B,0,0,28,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.6
31,163,19,14L5,B,0,0,28,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.7
32,164,106,14L5,B,0,0,28,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.7
33,165,20,14L5,B,0,0,28,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.8
34,166,107,14L5,B,0,0,28,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.9
35,167,21,14L5,B,0,0,28,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.9
36,168,108,14L5,B,0,0,28,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.9
37,169,109,14L5,B,0,0,28,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,45.0,0.9
38,170,110,14L5,B,0,0,28,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,75.0,1.0
39,171,22,14L5,B,0,0,28,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,75.0,1.1
40,172,111,14L5,B,0,0,28,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,75.0,1.1
41,173,23,14L5,B,0,0,28,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,75.0,1.3
42,174,154,14L5,B,0,0,28,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,1.5,56.04,115.0,1.5
43,175,32,14L5,B,0,0,30,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.5
44,176,33,14L5,B,0,0,30,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.5
45,177,34,14L5,B,0,0,30,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.5
46,178,112,14L5,B,0,0,30,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.6
47,179,113,14L5,B,0,0,30,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.6
48,180,35,14L5,B,0,0,30,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.7
49,181,114,14L5,B,0,0,30,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.7
50,182,36,14L5,B,0,0,30,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.8
51,183,115,14L5,B,0,0,30,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.9
52,184,37,14L5,B,0,0,30,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.9
53,185,116,14L5,B,0,0,30,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.9
54,186,117,14L5,B,0,0,30,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,45.0,0.9
55,187,118,14L5,B,0,0,30,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,75.0,1.0
56,188,38,14L5,B,0,0,30,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,75.0,1.1
57,189,119,14L5,B,0,0,30,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,75.0,1.1
58,190,39,14L5,B,0,0,30,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,75.0,1.3
59,191,156,14L5,B,0,0,30,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,11428600,1.5,56.04,115.0,1.5
60,192,8,14L5,B,0,0,25,2,0.25,6,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,45.0,0.5
61,193,9,14L5,B,0,0,25,2,0.5,13,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,45.0,0.5
62,194,10,14L5,B,0,0,25,2,0.75,19,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,45.0,0.5
63,195,11,14L5,B,0,0,25,2,1.0,25,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,45.0,0.7
64,196,12,14L5,B,0,0,25,2,1.5,38,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,45.0,0.8
65,197,13,14L5,B,0,0,25,2,2.25,56,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,45.0,0.9
66,198,14,14L5,B,0,0,25,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,75.0,1.1
67,199,15,14L5,B,0,0,25,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,75.0,1.3
68,200,153,14L5,B,0,0,25,2,7.0,175,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,115.0,1.5
69,201,24,14L5,B,0,0,28,2,0.25,6,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.5
70,202,25,14L5,B,0,0,28,2,0.5,13,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.5
71,203,26,14L5,B,0,0,28,2,0.75,19,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.5
72,204,27,14L5,B,0,0,28,2,1.0,25,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.7
73,205,28,14L5,B,0,0,28,2,1.5,38,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.8
74,206,29,14L5,B,0,0,28,2,2.25,56,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.9
75,207,30,14L5,B,0,0,28,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,75.0,1.1
76,208,31,14L5,B,0,0,28,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,75.0,1.3
