,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,Count,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,ProbeNumTxCycles
0,106,40,14L5,B,0,0,31,2,0.25,6,1.0,1,0,0,0,0.0,0,0,1,2,0,15,13333333,1.0
1,107,41,14L5,B,0,0,31,2,0.5,13,1.0,1,0,0,0,0.0,0,0,1,2,0,15,13333333,1.0
2,108,42,14L5,B,0,0,31,2,0.75,19,1.0,1,0,0,0,0.0,0,0,1,2,0,15,13333333,1.0
3,109,43,14L5,B,0,0,31,2,1.0,25,1.0,1,0,0,0,0.0,1,0,1,2,0,15,13333333,1.0
4,110,44,14L5,B,0,0,31,2,1.5,38,1.0,1,0,0,0,0.0,1,0,1,2,0,15,13333333,1.0
5,111,45,14L5,B,0,0,31,2,2.25,56,1.0,1,0,0,0,0.0,1,0,1,2,0,15,13333333,1.0
6,112,46,14L5,B,0,0,31,2,3.5,88,1.0,1,0,0,0,0.0,1,0,1,2,0,15,13333333,1.0
7,113,47,14L5,B,0,0,31,2,5.25,131,1.0,1,0,0,0,0.0,1,0,1,2,0,15,13333333,1.0
8,114,157,14L5,B,0,0,31,2,7.0,175,1.0,1,0,0,0,0.0,1,0,1,1,0,0,13333333,1.0
9,141,0,14L5,B,0,0,25,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1,2,0,15,6666700,1.5
10,142,1,14L5,B,0,0,25,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1,2,0,15,6666700,1.5
11,143,2,14L5,B,0,0,25,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1,2,0,15,6666700,1.5
12,144,96,14L5,B,0,0,25,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
13,145,97,14L5,B,0,0,25,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
14,146,3,14L5,B,0,0,25,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
15,147,98,14L5,B,0,0,25,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
16,148,4,14L5,B,0,0,25,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
17,149,99,14L5,B,0,0,25,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
18,150,5,14L5,B,0,0,25,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
19,151,100,14L5,B,0,0,25,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
20,152,101,14L5,B,0,0,25,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
21,153,102,14L5,B,0,0,25,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
22,154,6,14L5,B,0,0,25,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
23,155,103,14L5,B,0,0,25,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
24,156,7,14L5,B,0,0,25,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
25,157,152,14L5,B,0,0,25,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1,2,0,15,6666700,1.5
26,158,16,14L5,B,0,0,28,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1,2,0,15,8888900,1.5
27,159,17,14L5,B,0,0,28,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1,2,0,15,8888900,1.5
28,160,18,14L5,B,0,0,28,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1,2,0,15,8888900,1.5
29,161,104,14L5,B,0,0,28,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
30,162,105,14L5,B,0,0,28,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
31,163,19,14L5,B,0,0,28,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
32,164,106,14L5,B,0,0,28,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
33,165,20,14L5,B,0,0,28,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
34,166,107,14L5,B,0,0,28,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
35,167,21,14L5,B,0,0,28,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
36,168,108,14L5,B,0,0,28,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
37,169,109,14L5,B,0,0,28,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
38,170,110,14L5,B,0,0,28,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
39,171,22,14L5,B,0,0,28,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
40,172,111,14L5,B,0,0,28,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
41,173,23,14L5,B,0,0,28,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
42,174,154,14L5,B,0,0,28,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1,2,0,15,8888900,1.5
43,175,32,14L5,B,0,0,30,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1,2,0,15,11428600,1.5
44,176,33,14L5,B,0,0,30,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1,2,0,15,11428600,1.5
45,177,34,14L5,B,0,0,30,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1,2,0,15,11428600,1.5
46,178,112,14L5,B,0,0,30,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
47,179,113,14L5,B,0,0,30,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
48,180,35,14L5,B,0,0,30,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
49,181,114,14L5,B,0,0,30,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
50,182,36,14L5,B,0,0,30,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
51,183,115,14L5,B,0,0,30,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
52,184,37,14L5,B,0,0,30,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
53,185,116,14L5,B,0,0,30,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
54,186,117,14L5,B,0,0,30,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
55,187,118,14L5,B,0,0,30,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
56,188,38,14L5,B,0,0,30,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
57,189,119,14L5,B,0,0,30,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
58,190,39,14L5,B,0,0,30,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
59,191,156,14L5,B,0,0,30,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1,2,0,15,11428600,1.5
60,192,8,14L5,B,0,0,25,2,0.25,6,2.0,1,0,0,0,0.0,0,0,1,2,0,15,6666700,2.0
61,193,9,14L5,B,0,0,25,2,0.5,13,2.0,1,0,0,0,0.0,0,0,1,2,0,15,6666700,2.0
62,194,10,14L5,B,0,0,25,2,0.75,19,2.0,1,0,0,0,0.0,0,0,1,2,0,15,6666700,2.0
63,195,11,14L5,B,0,0,25,2,1.0,25,2.0,1,0,0,0,0.0,1,0,1,2,0,15,6666700,2.0
64,196,12,14L5,B,0,0,25,2,1.5,38,2.0,1,0,0,0,0.0,1,0,1,2,0,15,6666700,2.0
65,197,13,14L5,B,0,0,25,2,2.25,56,2.0,1,0,0,0,0.0,1,0,1,2,0,15,6666700,2.0
66,198,14,14L5,B,0,0,25,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1,2,0,15,6666700,2.0
67,199,15,14L5,B,0,0,25,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1,2,0,15,6666700,2.0
68,200,153,14L5,B,0,0,25,2,7.0,175,2.0,1,0,0,0,0.0,1,0,1,2,0,15,6666700,2.0
69,201,24,14L5,B,0,0,28,2,0.25,6,2.0,1,0,0,0,0.0,0,0,1,2,0,15,8888900,2.0
70,202,25,14L5,B,0,0,28,2,0.5,13,2.0,1,0,0,0,0.0,0,0,1,2,0,15,8888900,2.0
71,203,26,14L5,B,0,0,28,2,0.75,19,2.0,1,0,0,0,0.0,0,0,1,2,0,15,8888900,2.0
72,204,27,14L5,B,0,0,28,2,1.0,25,2.0,1,0,0,0,0.0,1,0,1,2,0,15,8888900,2.0
73,205,28,14L5,B,0,0,28,2,1.5,38,2.0,1,0,0,0,0.0,1,0,1,2,0,15,8888900,2.0
74,206,29,14L5,B,0,0,28,2,2.25,56,2.0,1,0,0,0,0.0,1,0,1,2,0,15,8888900,2.0
75,207,30,14L5,B,0,0,28,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1,2,0,15,8888900,2.0
76,208,31,14L5,B,0,0,28,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1,2,0,15,8888900,2.0
77,209,155,14L5,B,0,0,28,2,7.0,175,2.0,1,0,0,0,0.0,1,0,1,2,0,15,8888900,2.0
78,0,120,14L5,B,1,1,14,0,0.5,6,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
79,1,121,14L5,B,1,1,14,0,1.0,13,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
80,2,122,14L5,B,1,1,14,0,1.5,19,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
81,3,123,14L5,B,1,1,14,0,2.0,25,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
82,4,124,14L5,B,1,1,14,0,2.5,31,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
83,5,125,14L5,B,1,1,14,0,3.0,38,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
84,6,126,14L5,B,1,1,14,0,3.5,44,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
85,7,127,14L5,B,1,1,14,0,4.0,50,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,3333300,1.0
86,8,128,14L5,B,1,1,17,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
87,9,129,14L5,B,1,1,17,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
88,10,130,14L5,B,1,1,17,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
89,11,131,14L5,B,1,1,17,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
90,12,132,14L5,B,1,1,17,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
91,13,133,14L5,B,1,1,17,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
92,14,134,14L5,B,1,1,17,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
93,15,135,14L5,B,1,1,17,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4000000,1.0
94,16,136,14L5,B,1,1,20,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
95,17,137,14L5,B,1,1,20,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
96,18,138,14L5,B,1,1,20,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
97,19,139,14L5,B,1,1,20,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
98,20,140,14L5,B,1,1,20,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
99,21,141,14L5,B,1,1,20,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
100,22,142,14L5,B,1,1,20,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
101,23,143,14L5,B,1,1,20,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,4705900,1.0
102,24,144,14L5,B,1,1,23,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
103,25,145,14L5,B,1,1,23,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
104,26,146,14L5,B,1,1,23,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
105,27,147,14L5,B,1,1,23,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
106,28,148,14L5,B,1,1,23,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
107,29,149,14L5,B,1,1,23,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
108,30,150,14L5,B,1,1,23,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
109,31,151,14L5,B,1,1,23,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300,1.0
110,80,48,14L5,B,1,1,17,0,0.25,6,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1,2,1,20,4000000,1.0
111,81,49,14L5,B,1,1,17,0,0.5,13,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1,2,1,20,4000000,1.0
112,82,50,14L5,B,1,1,17,0,0.75,19,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1,2,1,20,4000000,1.0
113,83,51,14L5,B,1,1,17,0,1.0,25,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000,1.0
114,84,52,14L5,B,1,1,17,0,1.5,38,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000,1.0
115,85,53,14L5,B,1,1,17,0,2.25,56,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000,1.0
