,SSRId,probeName,reportdate,measSSId,WCSId,measResId,mark,mode,reportTerm_1,XP_Value_1,reportValue_1,Difference_1,Ambient_Temp_1,reportTerm_2,XP_Value_2,reportValue_2,Difference_2,Exam,TXLevel,Depth,Focus,MultiHz,FOVSize,ROISize,zoomFactor,THI,RS,trapzoidal,PowerMode,Scale,gateSizeCm,SSRName,platform,swVersion,systemSn,probeSn,ErrorLog
0,506,16L4,2023-05-02 11:44,30,429,411,P-THI_SSR_B-THI-MI,1,MI,1.200000048,1.191720009,-0.689999998,,Ispta.3,20.09799957,,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
1,507,16L4,2023-05-02 11:53,30,430,412,P-THI_SSR_B-Ispta,1,MI,0.605000019,0.625563383,3.400000095,,Ispta.3,37.17399979,,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
2,508,16L4,2023-05-02 11:59,30,431,413,_SSR_B-BC-MI,1,MI,1.029999971,1.08513999,5.349999905,,Ispta.3,1.736999989,,,Thyroid,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
3,509,16L4,2023-05-02 12:04,30,432,414,_SSR_C-BC-MI,5,MI,1.5,1.277637243,-14.81999969,,Ispta.3,21.75399971,,,Thyroid,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
4,510,16L4,2023-05-02 12:17,30,433,415,BM_SSR_B-BC-Ispta,0,MI,0.224000007,0.215875208,-3.630000114,,Ispta.3,0.039000001,,,Thyroid,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,"V-DependentWarnings <err>
z=0.50,V=21.73; Pulse duration error: actual PD=2.80E-6, expected=7.52E-8; 
z=0.60,V=21.73; Pulse duration error: actual PD=4.12E-6, expected=7.52E-8; 
z=1.10,V=27.54; Pulse duration error: actual PD=5.06E-6, expected=7.52E-8; 
z=1.10,V=17.15; Pulse duration error: actual PD=4.15E-6, expected=7.52E-8; 
"
5,511,16L4,2023-05-02 12:29,30,434,416,BM_SSR_C-BC-Ispta,5,MI,0.629000008,0.618287981,-1.700000048,,Ispta.3,139.3910065,,,Thyroid,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
6,512,16L4,2023-05-02 12:33,30,435,417,D_SSR_D-MI,10,MI,1.5,1.424926758,,,Ispta.3,426.5050049,429.2135925,,Thyroid,0,6,1.25,6153800,0,0,,OFF,0,OFF,,976.5599976,0.100000001,16L4 Mux change AOP,Griffin r1.0 ,VA10A (2303.2),NewTrees P1 #21,72290669,
7,513,16L4,2023-05-02 12:38,30,436,418,D_SSR_D-Ispta,10,MI,0.986999989,0.965682149,,,Ispta.3,500,504.7283936,,Thyroid,0,6,1.25,6153800,0,0,,OFF,0,OFF,,3004.800049,0.100000001,16L4 Mux change AOP,Griffin r1.0 ,VA10A (2303.2),NewTrees P1 #21,72290669,
8,514,16L4,2023-05-02 12:41,30,437,419,BM_SSR_M-MI,15,MI,1.052000046,0.984098017,,,Ispta.3,50.13700104,55.8546524,,Thyroid,0,0,3,8000000,0,0,,OFF,0,OFF,,720,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
9,515,16L4,2023-05-02 12:46,30,438,420,BM_SSR_M-Ispta,15,MI,1.052000046,1.108469963,,,Ispta.3,50.13700104,55.74707794,,Thyroid,0,0,3,8000000,0,0,,OFF,0,OFF,,720,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
14,536,16L4,2023-05-03 16:46,30,429,441,P-THI_SSR_B-THI-MI,1,MI,1.200000048,1.198160052,,,Ispta.3,20.09799957,21.08239555,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
15,537,16L4,2023-05-03 16:55,30,430,442,P-THI_SSR_B-Ispta,1,MI,0.605000019,0.629819572,,,Ispta.3,37.17399979,39.33963776,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
16,538,16L4,2023-05-03 17:01,30,431,443,_SSR_B-BC-MI,1,MI,1.029999971,1.072280049,,,Ispta.3,1.736999989,1.777956724,,Thyroid,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
17,539,16L4,2023-05-03 17:07,30,432,444,_SSR_C-BC-MI,5,MI,1.5,1.270262241,,,Ispta.3,21.75399971,18.04580879,,Thyroid,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
18,540,16L4,2023-05-03 17:15,30,433,445,BM_SSR_B-BC-Ispta,0,MI,0.224000007,0.214299783,,,Ispta.3,0.039000001,0.065384887,,Thyroid,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,"MeasResultWarnings <err>
meas_res_summary fc out of tolerance: 1.73E+6; 
V-DependentWarnings <err>
z=0.50,V=27.54; Pulse duration error: actual PD=2.27E-6, expected=7.52E-8; 
z=0.50,V=17.15; Pulse duration error: actual PD=3.13E-6, expected=7.52E-8; 
z=1.00,V=17.15; Pulse duration error: actual PD=2.47E-6, expected=7.52E-8; 
"
19,541,16L4,2023-05-03 17:27,30,434,446,BM_SSR_C-BC-Ispta,5,MI,0.629000008,0.614684701,,,Ispta.3,139.3910065,136.6646576,,Thyroid,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),NewTrees P1 #21,72290669,
20,496,16L4,2023-04-21 15:22,31,394,401,P-THI_Verification and SSR_B-THI-MI,10301,MI,1.200000048,1.199980021,0,,Ispta.3,20.09799957,,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
21,497,16L4,2023-04-21 15:31,31,395,402,P-THI_Verification and SSR_B-Ispta,10101,MI,0.605000019,0.622873187,2.950000048,,Ispta.3,37.17399979,,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
22,498,16L4,2023-04-21 15:38,31,396,403,_Verification and SSR_B-BC-MI,10301,MI,1.029999971,1.075289965,4.400000095,,Ispta.3,1.736999989,,,Thyroid,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
23,499,16L4,2023-04-21 15:45,31,397,404,_Verification and SSR_C-BC-MI,5,MI,1.5,1.298576832,-13.43000031,,Ispta.3,21.75399971,,,Thyroid,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
24,500,16L4,2023-04-21 15:55,31,398,405,BM_Verification and SSR_B-BC-Ispta,10210,MI,0.224000007,0.200561702,-10.46000004,,Ispta.3,0.039000001,,,Thyroid,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,"V-DependentWarnings <err>
z=0.50,V=21.73; Pulse duration error: actual PD=3.42E-6, expected=7.52E-8; 
z=0.50,V=17.15; Pulse duration error: actual PD=3.97E-6, expected=7.52E-8; 
z=0.80,V=21.73; Pulse duration error: actual PD=2.20E-7, expected=7.52E-8; 
z=0.80,V=17.15; Pulse duration error: actual PD=2.82E-6, expected=7.52E-8; 
"
25,501,16L4,2023-04-21 16:06,31,399,406,BM_Verification and SSR_C-BC-Ispta,5,MI,0.629000008,0.633482218,0.709999979,,Ispta.3,139.3910065,,,Thyroid,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,Griffin r1.0 Manual update,Griffin r1.0,VA10A (2303.2),griffin P1_#900120,72290669,
30,516,16L4,2023-05-02 13:47,31,429,421,P-THI_SSR_B-THI-MI,1,MI,1.200000048,1.21036005,0.860000014,,Ispta.3,20.09799957,,,Thyroid,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
31,517,16L4,2023-05-02 13:56,31,430,422,P-THI_SSR_B-Ispta,1,MI,0.605000019,0.636971533,5.28000021,,Ispta.3,37.17399979,,,Thyroid,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
32,518,16L4,2023-05-02 14:03,31,431,423,_SSR_B-BC-MI,1,MI,1.029999971,1.089570045,5.78000021,,Ispta.3,1.736999989,,,Thyroid,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
33,519,16L4,2023-05-02 14:08,31,432,424,_SSR_C-BC-MI,5,MI,1.5,1.295131803,-13.65999985,,Ispta.3,21.75399971,,,Thyroid,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
34,520,16L4,2023-05-02 14:16,31,433,425,BM_SSR_B-BC-Ispta,0,MI,0.224000007,0.218728915,-2.349999905,,Ispta.3,0.039000001,,,Thyroid,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,"MeasResultWarnings <err>
Elev profile z=0.50: alignment is out of tolerance; 
V-DependentWarnings <err>
z=0.60,V=21.73; Pulse duration error: actual PD=3.13E-6, expected=7.52E-8; 
z=0.60,V=17.15; Pulse duration error: actual PD=6.35E-6, expected=7.52E-8; 
z=1.00,V=17.15; Pulse duration error: actual PD=3.11E-6, expected=7.52E-8; 
"
35,521,16L4,2023-05-02 14:28,31,434,426,BM_SSR_C-BC-Ispta,5,MI,0.629000008,0.635111809,0.970000029,,Ispta.3,139.3910065,,,Thyroid,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
,,,,,,,,,,,Juniper,P1,,,,Juniper,P1,,,,,,,,,,,,,,,,,,,,
36,522,16L4,2023-05-02 14:33,31,435,427,D_SSR_D-MI,10,MI,1.5,1.454441071,1.424926758,-2%,Ispta.3,426.5050049,436.0914917,429.2135925,-2%,0,6,1.25,6153800,0,0,,OFF,0,OFF,,976.5599976,0.100000001,16L4 Mux change AOP,Griffin r1.0 ,VA10A (2303.2),griffin P1_#900120,72290669,
37,523,16L4,2023-05-02 14:37,31,436,428,D_SSR_D-Ispta,10,MI,0.986999989,0.984707832,0.965682149,-2%,Ispta.3,500,520.9143066,504.7283936,-3%,0,6,1.25,6153800,0,0,,OFF,0,OFF,,3004.800049,0.100000001,16L4 Mux change AOP,Griffin r1.0 ,VA10A (2303.2),griffin P1_#900120,72290669,
38,524,16L4,2023-05-02 14:41,31,437,429,BM_SSR_M-MI,15,MI,1.052000046,0.974354029,0.984098017,1%,Ispta.3,50.13700104,54.1679039,55.8546524,3%,0,0,3,8000000,0,0,,OFF,0,OFF,,720,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
39,525,16L4,2023-05-02 14:47,31,438,430,BM_SSR_M-Ispta,15,MI,1.052000046,1.104609966,1.108469963,0%,Ispta.3,50.13700104,54.14011002,55.74707794,3%,0,0,3,8000000,0,0,,OFF,0,OFF,,720,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
40,526,16L4,2023-05-02 16:49,31,429,431,P-THI_SSR_B-THI-MI,1,MI,1.200000048,1.212059975,1.198160052,-1%,Ispta.3,20.09799957,22.1357975,21.08239555,-5%,0,3.5,1.25,6153800,3.348999977,0,,ON,4,OFF,,79.51999664,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
41,527,16L4,2023-05-02 16:57,31,430,432,P-THI_SSR_B-Ispta,1,MI,0.605000019,0.632958293,0.629819572,0%,Ispta.3,37.17399979,40.57942581,39.33963776,-3%,0,3.5,3,6153800,3.348999977,0,,ON,5,OFF,,74.55000305,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
42,528,16L4,2023-05-02 17:04,31,431,433,_SSR_B-BC-MI,1,MI,1.029999971,1.19915998,1.072280049,-11%,Ispta.3,1.736999989,1.870799899,1.777956724,-5%,0,6,0.75,6153800,3.348999977,0,,ON,4,OFF,,12.68999958,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
43,529,16L4,2023-05-02 17:09,31,432,434,_SSR_C-BC-MI,5,MI,1.5,1.301388144,1.270262241,-2%,Ispta.3,21.75399971,18.63946342,18.04580879,-3%,0,6,0.75,6153800,3.348999977,1,,OFF,0,OFF,,82.45999908,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
44,530,16L4,2023-05-02 17:18,31,433,435,BM_SSR_B-BC-Ispta,0,MI,0.224000007,0.209350377,0.214299783,2%,Ispta.3,0.039000001,0.060048752,0.065384887,9%,0,6,0.5,13300000,3.348999977,0,,OFF,0,OFF,,9.970000267,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,"V-DependentWarnings <err>
z=0.50,V=21.73; Pulse duration error: actual PD=5.50E-6, expected=7.52E-8; 
z=0.50,V=17.15; Pulse duration error: actual PD=3.71E-6, expected=7.52E-8; 
z=1.50,V=21.73; Pulse duration error: actual PD=2.72E-6, expected=7.52E-8; 
z=1.50,V=17.15; Pulse duration error: actual PD=1.92E-6, expected=7.52E-8; 
"
45,531,16L4,2023-05-02 17:30,31,434,436,BM_SSR_C-BC-Ispta,5,MI,0.629000008,0.625951648,0.614684701,-2%,Ispta.3,139.3910065,140.2832794,136.6646576,-3%,0,6,4,6153800,3.348999977,1,,OFF,5,OFF,,129.5800018,0,16L4 Mux change AOP,Griffin r1.5,VA10A (2303.2),griffin P1_#900120,72290669,
