,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex
0,B,0,0,21,1,0.5,6,2.0,0,0,0,0,,1,,1.0,1
1,B,0,0,21,1,1.0,12,2.0,0,0,0,0,,1,,1.0,1
2,B,0,0,21,1,1.5,18,2.0,0,0,0,0,,1,,1.0,1
3,B,0,0,21,1,2.0,24,2.0,0,0,0,0,,1,,1.0,1
4,B,0,0,21,1,3.0,32,2.0,0,0,0,0,,1,,1.0,1
5,B,0,0,21,1,4.0,44,2.0,0,0,0,0,,1,,1.0,1
6,B,0,0,21,1,6.0,51,2.0,0,0,0,0,,1,,1.0,1
7,B,0,0,21,1,8.0,53,2.0,0,0,0,0,,1,,1.0,1
8,B,0,0,24,2,0.5,7,1.5,0,0,0,0,,1,,1.0,2
9,B,0,0,24,2,1.0,14,1.5,0,0,0,0,,1,,1.0,2
10,B,0,0,24,2,1.5,21,1.5,0,0,0,0,,1,,1.0,2
11,B,0,0,24,2,2.0,28,1.5,0,0,0,0,,1,,1.0,2
12,B,0,0,24,2,3.0,37,1.5,0,0,0,0,,1,,1.0,2
13,B,0,0,24,2,4.0,48,1.5,0,0,0,0,,1,,1.0,2
14,B,0,0,24,2,6.0,51,1.5,0,0,0,0,,1,,1.0,2
15,B,0,0,24,2,8.0,53,1.5,0,0,0,0,,1,,1.0,2
16,B,0,0,26,2,0.5,7,2.0,0,0,0,0,,1,,1.0,3
17,B,0,0,26,2,1.0,14,2.0,0,0,0,0,,1,,1.0,3
18,B,0,0,26,2,1.5,21,2.0,0,0,0,0,,1,,1.0,3
19,B,0,0,26,2,2.0,28,2.0,0,0,0,0,,1,,1.0,3
20,B,0,0,26,2,3.0,32,2.0,0,0,0,0,,1,,1.0,3
21,B,0,0,26,2,4.0,42,2.0,0,0,0,0,,1,,1.0,3
22,B,0,0,26,2,6.0,44,2.0,0,0,0,0,,1,,1.0,3
23,B,0,0,26,2,8.0,46,2.0,0,0,0,0,,1,,1.0,3
24,B,1,1,13,1,0.5,5,2.0,0,0,0,0,,1,,1.0,4
25,B,1,1,13,1,1.0,10,2.0,0,0,0,0,,1,,1.0,4
26,B,1,1,13,1,1.5,16,2.0,0,0,0,0,,1,,1.0,4
27,B,1,1,13,1,2.0,21,2.0,0,0,0,0,,1,,1.0,4
28,B,1,1,13,1,3.0,37,2.0,0,0,0,0,,1,,1.0,4
29,B,1,1,13,1,4.0,42,2.0,0,0,0,0,,1,,1.0,4
30,B,1,1,13,1,6.0,44,2.0,0,0,0,0,,1,,1.0,4
31,B,1,1,13,1,8.0,46,2.0,0,0,0,0,,1,,1.0,4
32,B,1,1,15,1,0.5,5,2.0,0,0,0,0,,1,,1.0,5
33,B,1,1,15,1,1.0,9,2.0,0,0,0,0,,1,,1.0,5
34,B,1,1,15,1,1.5,14,2.0,0,0,0,0,,1,,1.0,5
35,B,1,1,15,1,2.0,19,2.0,0,0,0,0,,1,,1.0,5
36,B,1,1,15,1,3.0,32,2.0,0,0,0,0,,1,,1.0,5
37,B,1,1,15,1,4.0,42,2.0,0,0,0,0,,1,,1.0,5
38,B,1,1,15,1,6.0,44,2.0,0,0,0,0,,1,,1.0,5
39,B,1,1,15,1,8.0,46,2.0,0,0,0,0,,1,,1.0,5
40,B,1,1,15,1,0.5,8,2.0,1,0,0,0,,1,,0.0,6
41,B,1,1,15,1,1.0,17,2.0,1,0,0,0,,1,,0.0,6
42,B,1,1,15,1,1.5,25,2.0,1,0,0,0,,1,,0.0,6
43,B,1,1,15,1,2.0,34,2.0,1,0,0,0,,1,,0.0,6
44,B,1,1,15,1,3.0,54,2.0,1,0,0,0,,1,,0.0,6
45,B,1,1,15,1,4.0,60,2.0,1,0,0,0,,1,,0.0,6
46,B,1,1,15,1,6.0,64,2.0,1,0,0,0,,1,,0.0,6
47,B,1,1,15,1,8.0,66,2.0,1,0,0,0,,1,,0.0,6
48,B,1,1,16,1,0.5,5,1.5,0,0,0,0,,1,,1.0,7
49,B,1,1,16,1,1.0,9,1.5,0,0,0,0,,1,,1.0,7
50,B,1,1,16,1,1.5,14,1.5,0,0,0,0,,1,,1.0,7
51,B,1,1,16,1,2.0,19,1.5,0,0,0,0,,1,,1.0,7
52,B,1,1,16,1,3.0,28,1.5,0,0,0,0,,1,,1.0,7
53,B,1,1,16,1,4.0,39,1.5,0,0,0,0,,1,,1.0,7
54,B,1,1,16,1,6.0,44,1.5,0,0,0,0,,1,,1.0,7
55,B,1,1,16,1,8.0,46,1.5,0,0,0,0,,1,,1.0,7
56,B,1,1,17,1,0.5,5,1.5,0,0,0,0,,1,,1.0,8
57,B,1,1,17,1,1.0,10,1.5,0,0,0,0,,1,,1.0,8
58,B,1,1,17,1,1.5,16,1.5,0,0,0,0,,1,,1.0,8
59,B,1,1,17,1,2.0,21,1.5,0,0,0,0,,1,,1.0,8
60,B,1,1,17,1,3.0,39,1.5,0,0,0,0,,1,,1.0,8
61,B,1,1,17,1,4.0,42,1.5,0,0,0,0,,1,,1.0,8
62,B,1,1,17,1,6.0,44,1.5,0,0,0,0,,1,,1.0,8
63,B,1,1,17,1,8.0,46,1.5,0,0,0,0,,1,,1.0,8
104,M,1,20,15,1,0.5,8,2.0,0,0,0,0,,1,,0.0,9
105,M,1,20,15,1,1.0,17,2.0,0,0,0,0,,1,,0.0,9
106,M,1,20,15,1,1.5,25,2.0,0,0,0,0,,1,,0.0,9
107,M,1,20,15,1,2.0,34,2.0,0,0,0,0,,1,,0.0,9
108,M,1,20,15,1,3.0,54,2.0,0,0,0,0,,1,,0.0,9
109,M,1,20,15,1,4.0,60,2.0,0,0,0,0,,1,,0.0,9
110,M,1,20,15,1,6.0,64,2.0,0,0,0,0,,1,,0.0,9
111,M,1,20,15,1,8.0,66,2.0,0,0,0,0,,1,,0.0,9
0,Cb,0,5,16,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1.0,10
1,Cb,0,5,16,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1.0,10
2,Cb,0,5,16,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1.0,10
3,Cb,0,5,16,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1.0,10
4,Cb,0,5,16,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1.0,10
5,Cb,0,5,16,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1.0,10
6,Cb,0,5,16,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1.0,10
7,Cb,0,5,16,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1.0,10
8,Cb,0,5,19,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1.0,11
9,Cb,0,5,19,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1.0,11
10,Cb,0,5,19,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1.0,11
11,Cb,0,5,19,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1.0,11
12,Cb,0,5,19,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1.0,11
13,Cb,0,5,19,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1.0,11
14,Cb,0,5,19,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1.0,11
15,Cb,0,5,19,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1.0,11
16,Cb,0,5,21,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1.0,12
17,Cb,0,5,21,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1.0,12
18,Cb,0,5,21,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1.0,12
19,Cb,0,5,21,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1.0,12
20,Cb,0,5,21,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1.0,12
21,Cb,0,5,21,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1.0,12
22,Cb,0,5,21,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1.0,12
23,Cb,0,5,21,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1.0,12
